Source,Target
daynesour,Askrlfess
expired_soon,txtdarikostan
margareccca,tanyakanrl
ickerdiya,tanyakanrl
sukabcdaku,tanyakanrl
elfsyas,convomf
pekadikittdong,tanyakanrl
Muskwannabee,tanyakanrl
fairtuaI,tanyakanrl
fairtuaI,tanyakanrl
15JAEPARK,convomf
v_viaapril,convomf
Milafs_09,convomf
cannameora,convomf
_sabrinapn,convomf
spotipav,convomf
phejabat,convomf
yellovvgurl,convomf
cakecaramell,convomf
cakecaramell,convomf
cakecaramell,convomf
rosedatives,convomf
ivindyaja,convomf
nebulasaturnuss,convomf
od0ie,convomf
xxkatlea,convomf
fadil_bappe,FOOD_FESS
kunikuzuci,convomf
himouwnt,convomfs
Frmnsyh_10,CharlieVictor_5
Frmnsyh_10,zuriat_fadil
eryghi_,zuriat_fadil
CharlieVictor_5,zuriat_fadil
muuniverz_,tanyakanrl
cursedkidd,zuriat_fadil
TheEagle_BEN,jokowi
WayroonWaz,SeulawahAgm
WayroonWaz,senja_aprilia
WayroonWaz,zuriat_fadil
yohanesrobby_,zuriat_fadil
senja_aprilia,SeulawahAgm
senja_aprilia,zuriat_fadil
tuanmudaedo,zuriat_fadil
Ieehaeychan,yubtokki
Ieehaeychan,starfess
EkoYuli12406578,mei_peseek
EkoYuli12406578,irenejuliency
dinaherdawati,Dennysiregar7
dinaherdawati,mazzini_gsp
dinaherdawati,TheEagle_BEN
dinaherdawati,Miduk17
dinaherdawati,ARSIPAJA
dinaherdawati,Rizmaya__
pluvi0pile,convomf
fadil_Nc,amndzahra
jakesimpati,caratstalk
fadil_Nc,azanifrd
TheEagle_BEN,ListyoSigitP
HanaRzn,yxlwjuneee
HanaRzn,yurayunita
fitrianiida574,rainguyuna
fitrianiida574,yurayunita
ohfairysehun,convomfs
yaniarsim,ListyoSigitP
DadangRusian,NenkMonica
abu_waras,ListyoSigitP
pcarnyKimJisoo,Askrlfess
TigaPerioDead,BuronanMabes
AK__aja,jokowi
AK__aja,DivHumas_Polri
__AnakKolong,jokowi
__AnakKolong,DivHumas_Polri
ayasya_store,starfess
KaredokLeunca__,KRMTRoySuryo2
KaredokLeunca__,Jokowi
KaredokLeunca__,ListyoSigitP
merkuriyous,convomf
maelkli,jehianps
fadil_ainur,Devterians
fadil_ainur,Mohamm3Alfarizi
fadil_ainur,txtdrberseragam
maulbaebae,akunflopbanget
maulbaebae,fadil_ainur
maulbaebae,txtdrberseragam
noviaive,fadil_ainur
noviaive,txtdrberseragam
fadil_ainur,txtdrberseragam
fadil_ainur,txtdrberseragam
fadil_ainur,txtdrberseragam
fadil_ainur,txtdrberseragam
trustmeitswork0,Askrlfess
clowwyc,tanyakanrl
icebreezu,tanyakanrl
akungatwkm,convomf
Ieehaeychan,xiaozhongtae
Ieehaeychan,nctzenbase
Hambamusafir2,meowlynnd
Hambamusafir2,Muthia911
KaredokLeunca__,Prabowo
KaredokLeunca__,ganjarpranowo
KaredokLeunca__,ganjarpranowo
KaredokLeunca__,prabowo
maulibnuu,bulutangkisRI
smgalucky,candvbar
smgalucky,Askrlfess
banyakplanningg,Askrlfess
